D=256 
  1000x 512|        16 |         35
  6000x 512|        99 |        259
 11000x 512|       202 |        513
 16000x 512|       382 |        750
 21000x 512|       501 |       1074
 26000x 512|       687 |       1377
 31000x 512|       871 |       1746
 36000x 512|      1008 |       2152
 41000x 512|      1155 |       3126
 46000x 512|      1565 |       3065
 51000x 512|      1737 |       3066
 56000x 512|      1999 |       3371
 61000x 512|      2122 |       3598
 66000x 512|      2143 |       4667
